nickname,team,conference,rating,lat,long,coords,score,wins,losses
AbCh,Abilene Christian,WAC,49.5,32.4338020067956,-99.6973657608032,"(32.4338,-99.6974)",0,,
AF,Air Force,MWC-MOUNTAIN,75.37,38.9969074312268,-104.843688011169,"(38.9969,-104.8437)",0,,
Akr,Akron,MAC-EAST,52.73,41.0725695152871,-81.5083837509155,"(41.0726,-81.5084)",0,,
ALAM,Alabama A&M,SWAC-EAST,31.86,34.7832145305281,-86.579303741455,"(34.7832,-86.5793)",0,,
Alb,Albany,COLONIAL,40.31,42.6815441600528,-73.8277173042297,"(42.6815,-73.8277)",0,,
AlcS,Alcorn State,SWAC-WEST,36.55,31.8731844044783,-91.1363124847412,"(31.8732,-91.1363)",0,,
AlSt,Alabama State,SWAC-EAST,33.76,32.3806859735875,-86.3114156948226,"(32.3807,-86.3114)",0,,
App,Appalachian State,SUN BELT EAST,67.31,36.211515301693,-81.6855061054229,"(36.2115,-81.6855)",0,,
Ariz,Arizona,PAC-12 SOUTH,70.55,32.2283402320714,-110.949039459228,"(32.2283,-110.949)",0,,
Ark,Arkansas,SEC-WEST,78.72,36.0678507851673,-94.1787958145141,"(36.0679,-94.1788)",0,,
Army,Army,I-A IND.,67.79,41.3870804347742,-73.9640808105468,"(41.3871,-73.9641)",0,,
ArPB,Arkansas Pine Bluff,SWAC-WEST,23.04,34.2528433892265,-92.0217780714437,"(34.2528,-92.0218)",0,,
ArSt,Arkansas State,SUN BELT WEST,53.42,35.8489900953236,-90.6676949436291,"(35.849,-90.6677)",0,,
ASU,Arizona State,PAC-12 SOUTH,69.09,33.426364,-111.932616,"(33.4264,-111.9326)",0,,
Aub,Auburn,SEC-WEST,75.57,32.6023616668175,-85.4889106750488,"(32.6024,-85.4889)",0,,
Ball,Ball State,MAC-WEST,60.11,40.2160276446665,-85.4176996220661,"(40.216,-85.4177)",0,,
Bama,Alabama,SEC-WEST,95.88,33.2074899449517,-87.5503921508789,"(33.2075,-87.5504)",0,,
Bay,Baylor,BIG 12,79.41,31.5586626355116,-97.1156001091003,"(31.5587,-97.1156)",0,,
BC,Boston College,ACC-ATLANTIC,60.84,42.3351083489585,-71.1664724349975,"(42.3351,-71.1665)",0,,
BCU,Bethune-Cookman,SWAC-EAST,26.36,29.1730751119705,-81.1177679002626,"(29.1731,-81.1178)",0,,
BoSt,Boise State,MWC-MOUNTAIN,73.65,43.6027080538683,-116.195912361145,"(43.6027,-116.1959)",0,,
Bowl,Bowling Green,MAC-EAST,55.1,41.3780543980322,-83.6224821209907,"(41.3781,-83.6225)",0,,
Bro,Brown,IVY LEAGUE,33.58,41.8421454678782,-71.3946461077084,"(41.8421,-71.3946)",0,,
Bry,Bryant,BIG SOUTH,39.91,41.9240451152858,-71.5380118857875,"(41.924,-71.538)",0,,
Buck,Bucknell,PATRIOT,25.84,40.9520773619051,-76.8857456505959,"(40.9521,-76.8857)",0,,
Buff,Buffalo,MAC-EAST,62.1,42.9990683823964,-78.7775194644928,"(42.9991,-78.7775)",0,,
But,Butler,PIONEER,27.38,39.8442975650596,-86.166241911809,"(39.8443,-86.1662)",0,,
BYU,BYU,I-A IND.,71.8,40.2574879974631,-111.654438972473,"(40.2575,-111.6544)",0,,
Cal,California,PAC-12 NORTH,70.38,37.8706866037042,-122.250709533691,"(37.8707,-122.2507)",0,,
CalP,Cal Poly,BIG SKY,34.87,35.2985168294003,-120.665114225167,"(35.2985,-120.6651)",0,,
Camp,Campbell,BIG SOUTH,44.03,35.4047183451882,-78.7429795892665,"(35.4047,-78.743)",0,,
CCar,Coastal Carolina,SUN BELT EAST,62.18,33.7928381752244,-79.0170228280525,"(33.7928,-79.017)",0,,
CeAR,Central Arkansas,ASUN,50.93,35.0803032166218,-92.4601221084594,"(35.0803,-92.4601)",0,,
CeCT,Central Connecticut,NORTHEAST,28.87,41.6951367540605,-72.7614321591481,"(41.6951,-72.7614)",0,,
Char,Charlotte,CONF-USA,49.09,35.310280676164,-80.7404937710652,"(35.3103,-80.7405)",0,,
Chat,Chattanooga,SOUTHERN,53.73,35.0360404491686,-85.3157687187194,"(35.036,-85.3158)",0,,
ChSo,Charleston Southern,BIG SOUTH,36.53,32.9783500561406,-80.0684685823592,"(32.9784,-80.0685)",0,,
Cinc,Cincinnati,AAC,74.73,39.131284252734,-84.5162614374157,"(39.1313,-84.5163)",0,,
Cit,The Citadel,SOUTHERN,39.2,32.7932634640853,-79.9564318910352,"(32.7933,-79.9564)",0,,
Clem,Clemson,ACC-ATLANTIC,85.58,34.6787466574134,-82.8431797027587,"(34.6787,-82.8432)",0,,
CMU,Central Michigan,MAC-WEST,58.82,43.5776122825745,-84.7708296775817,"(43.5776,-84.7708)",0,,
Col,Columbia,IVY LEAGUE,42.89,40.8723189213081,-73.9157140635693,"(40.8723,-73.9157)",0,,
Colg,Colgate,PATRIOT,33.89,42.8165272450098,-75.5458116531372,"(42.8165,-75.5458)",0,,
Colo,Colorado,PAC-12 SOUTH,54.03,40.0093983744632,-105.266886949539,"(40.0094,-105.2669)",0,,
Conn,Connecticut,I-A IND.,56.15,41.7598842782029,-72.6189422607421,"(41.7599,-72.6189)",0,,
Corn,Cornell,IVY LEAGUE,35.96,42.4440129576118,-76.4786839485168,"(42.444,-76.4787)",0,,
CoSt,Colorado State,MWC-MOUNTAIN,56.64,40.561742448678,-105.139843711922,"(40.5617,-105.1398)",0,,
Dart,Dartmouth,IVY LEAGUE,44.4,43.7012721867834,-72.2847763239833,"(43.7013,-72.2848)",0,,
Dav,Davidson,PIONEER,30.13,35.4995848258246,-80.8434523914253,"(35.4996,-80.8435)",0,,
Day,Dayton,PIONEER,29.56,39.736938,-84.198786658853,"(39.7369,-84.1988)",0,,
Del,Delaware,COLONIAL,52.91,39.6617040181287,-75.7488301174382,"(39.6617,-75.7488)",0,,
